source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dorothea_level
P43694	P49675	GATA4	STAR	True	True	False	True	True	False	D
P18146	P04085	EGR1	PDGFA	True	True	False	True	True	False	A
P08047	P04085	SP1	PDGFA	True	True	False	True	True	False	D
P04637	P05231	TP53	IL6	True	False	True	True	False	True	D
P05412	P08183	JUN	ABCB1	True	True	True	True	True	False	A
Q04206	P29965	RELA	CD40LG	True	True	False	True	True	False	A
P49715	P08047	CEBPA	SP1	True	True	False	False	False	False	A
Q06330	P05231	RBPJ	IL6	True	True	True	True	False	True	D
P08047	P11926	SP1	ODC1	True	True	False	True	True	False	A
P01106	P60709	MYC	ACTB	True	True	False	True	True	False	D
P01106	P38398	MYC	BRCA1	True	True	False	False	False	False	A
Q13285	P11511	NR5A1	CYP19A1	True	True	True	True	True	False	A
P17861	P05231	XBP1	IL6	True	True	True	True	True	False	D
P03372	P48552	ESR1	NRIP1	True	True	False	True	True	False	C
P01106	P11926	MYC	ODC1	True	True	False	True	True	False	A
P01106	P06454	MYC	PTMA	True	True	False	True	True	False	A
Q16656	P61073	NRF1	CXCR4	True	True	False	True	True	False	D
P15976	Q07817	GATA1	BCL2L1	True	True	False	True	True	False	D
P04198	Q92597	MYCN	NDRG1	True	True	True	True	False	True	A
P01106	Q92597	MYC	NDRG1	True	False	True	True	False	True	A
Q9H3D4	P38936	TP63	CDKN1A	True	True	False	True	True	False	A
P08047	P05108	SP1	CYP11A1	True	True	False	True	True	False	A
P56270	P01106	MAZ	MYC	True	True	False	True	True	False	A
P28069	P01241	POU1F1	GH1	True	True	False	True	True	False	A
P18146	P18846	EGR1	ATF1	True	False	False	False	False	False	C
P18846	P18146	ATF1	EGR1	True	True	False	True	True	False	C
P16220	P18146	CREB1	EGR1	True	True	False	True	True	False	A
P18146	P16220	EGR1	CREB1	True	False	False	False	False	False	C
P18146	P08183	EGR1	ABCB1	True	True	False	True	True	False	A
P19544	P08183	WT1	ABCB1	True	True	True	True	False	True	A
P22415	P52945	USF1	PDX1	True	True	False	True	True	False	D
P25490	P11597	YY1	CETP	True	True	False	True	True	False	A
P36956	P11597	SREBF1	CETP	True	True	False	True	True	False	A
Q99453	P09172	PHOX2B	DBH	True	True	False	True	True	False	D
P36956	Q86SK9	SREBF1	SCD5	True	True	False	True	True	False	A
P42224	P25942	STAT1	CD40	True	True	False	True	True	False	A
P51843	P49675	NR0B1	STAR	True	False	True	True	False	True	D
O75469	P08684	NR1I2	CYP3A4	True	True	False	True	True	False	A
P20823	P22680	HNF1A	CYP7A1	True	True	False	True	True	False	A
O75030	P20231	MITF	TPSB2	True	True	False	True	True	False	D
P16220	P01236	CREB1	PRL	True	True	False	True	True	False	D
P42224	P01562	STAT1	IFNA1	True	True	True	True	True	False	A
P11473	P01236	VDR	PRL	True	True	False	True	True	False	D
P19544	P10415	WT1	BCL2	True	True	False	True	True	False	A
P01100	P10909	FOS	CLU	True	False	True	True	False	True	A
P15407	P10909	FOSL1	CLU	True	True	False	True	True	False	A
P17275	P10909	JUNB	CLU	True	True	False	True	True	False	A
P16220	P07101	CREB1	TH	True	True	False	True	True	False	A
Q03060	O00268	CREM	TAF4	True	True	False	True	True	False	D
P36956	P37231	SREBF1	PPARG	True	True	False	True	True	False	D
Q12772	P37231	SREBF2	PPARG	True	True	False	False	False	False	D
Q92731	P01178	ESR2	OXT	True	True	False	True	True	False	A
P08047	P08183	SP1	ABCB1	True	True	False	True	True	False	A
P67809	P08183	YBX1	ABCB1	True	True	True	True	True	False	D
P05412	P17947	JUN	SPI1	True	True	False	True	True	False	A
Q16665	P15692	HIF1A	VEGFA	True	True	True	True	True	False	A
Q13485	P38936	SMAD4	CDKN1A	True	True	False	True	True	False	A
P03372	P01024	ESR1	C3	True	True	False	True	True	False	A
P18146	P01375	EGR1	TNF	True	True	False	True	True	False	A
P01100	P02751	FOS	FN1	True	True	False	True	True	False	D
P08047	P02751	SP1	FN1	True	True	False	True	True	False	A
P01106	P02751	MYC	FN1	True	False	True	True	False	True	D
P37231	P15090	PPARG	FABP4	True	True	False	True	True	False	A
P08047	P41159	SP1	LEP	True	True	False	True	True	False	A
P42229	P13725	STAT5A	OSM	True	True	False	True	True	False	A
P18146	P50281	EGR1	MMP14	True	True	False	True	True	False	A
P42229	Q07817	STAT5A	BCL2L1	True	True	False	True	True	False	A
P37231	P16671	PPARG	CD36	True	True	False	True	True	False	A
P42224	P35354	STAT1	PTGS2	True	True	False	True	True	False	A
P17676	P05231	CEBPB	IL6	True	True	True	True	True	False	A
Q02548	P11912	PAX5	CD79A	True	True	False	True	True	False	A
Q02548	P55895	PAX5	RAG2	True	True	False	True	True	False	D
Q02548	Q9UH73	PAX5	EBF1	True	True	False	False	False	False	D
Q9UH73	Q02548	EBF1	PAX5	True	True	False	True	True	False	D
P14921	P09874	ETS1	PARP1	True	True	True	True	True	False	A
P04637	P29972	TP53	AQP1	True	True	False	True	True	False	D
P14859	P10145	POU2F1	CXCL8	True	False	True	True	False	True	D
P14859	P01903	POU2F1	HLA-DRA	True	False	True	True	False	True	A
P14921	Q09328	ETS1	MGAT5	True	True	False	True	True	False	A
P17676	P13727	CEBPB	PRG2	True	True	False	True	True	False	D
