source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources
COMPLEX:P05412	P05305	JUN	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P15408_P17275	P05305	FOSL2_JUNB	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P15407	P05305	FOSL1_JUN	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17535_P53539	P05305	FOSB_JUND	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P15408_P17535	P05305	FOSL2_JUND	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275_P53539	P05305	FOSB_JUNB	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P05412	P05305	FOS_JUN	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P17275	P05305	JUN_JUNB	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P15407_P17275	P05305	FOSL1_JUNB	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P15407_P17535	P05305	FOSL1_JUND	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P17535	P05305	JUN_JUND	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P17275	P05305	FOS_JUNB	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17275	P05305	JUNB	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P01100_P17535	P05305	FOS_JUND	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P53539	P05305	FOSB_JUN	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P05412_P15408	P05305	FOSL2_JUN	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
COMPLEX:P17535	P05305	JUND	EDN1	True	True	False	True	True	False	CollecTRI;TFactS_CollecTRI;NTNU.Curated_CollecTRI;TRRUST_CollecTRI;ExTRI_CollecTRI
P53567	P05305	CEBPG	EDN1	True	True	False	True	True	False	CollecTRI;NTNU.Curated_CollecTRI;NTNUcuration_CollecTRI2;CollecTRI2;ExTRI_CollecTRI
P04637	P01375	TP53	TNF	True	True	False	True	True	False	CollecTRI;ExTRI2_CollecTRI2;DoRothEA;GEREDB_CollecTRI2;CollecTRI2;TRED_DoRothEA;GEREDB_CollecTRI;RegNetwork_DoRothEA;ExTRI_CollecTRI
COMPLEX:P19838_Q04864	P01344	NFKB1_REL	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P19838_Q01201	P01344	NFKB1_RELB	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q00653_Q04864	P01344	NFKB2_REL	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q00653_Q04206	P01344	NFKB2_RELA	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q04864	P01344	REL	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q04206	P01344	RELA	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q01201	P01344	RELB	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q00653_Q01201	P01344	NFKB2_RELB	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q00653	P01344	NFKB2	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P19838	P01344	NFKB1	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q04206_Q04864	P01344	REL_RELA	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:P19838_Q00653	P01344	NFKB1_NFKB2	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
COMPLEX:Q01201_Q04864	P01344	REL_RELB	IGF2	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P05412	P29120	JUN	PCSK1	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P05412	P42680	JUN	TEC	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P08047	Q92185	SP1	ST8SIA1	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
P04637	O15297	TP53	PPM1D	True	True	False	False	False	False	CollecTRI;PAZAR_DoRothEA;ExTRI2_CollecTRI2;DoRothEA;NTNU.Curated_CollecTRI;DoRothEA-A_CollecTRI2;NTNUcuration_CollecTRI2;CollecTRI2;ExTRI_CollecTRI
COMPLEX:P05412	Q07812	JUN	BAX	True	True	False	True	True	False	CollecTRI;ExTRI_CollecTRI
