gene_n,cond_n,n_orgs,organisms,n_entries,median_fit,worst_fit,example_locus,example_org,example_condition,description,score
ksga,d-cycloserine,1,beril_Miya,1,-4.77331435705901,-4.77331435705901,8499736,beril_Miya,D-Cycloserine,dimethyladenosine transferase (RefSeq),4.77331435705901
acrb,nalidixic acid,1,beril_Keio,1,-4.74588371255839,-4.74588371255839,14599,beril_Keio,Nalidixic acid sodium salt,multidrug efflux system protein (NCBI),4.74588371255839
trna-pro-4,bacitracin,1,beril_MR1,1,-4.73355678471425,-4.73355678471425,401124,beril_MR1,Bacitracin,tRNA-Pro (RefSeq),4.73355678471425
sigg,bacitracin,1,beril_SynE,1,-4.66080517410104,-4.66080517410104,Synpcc7942_1923,beril_SynE,Bacitracin,RNA polymerase sigma factor RpoE,4.66080517410104
zapa,bacitracin,1,beril_Keio,1,-4.64063862564155,-4.64063862564155,16990,beril_Keio,Bacitracin,protein that localizes to the cytokinetic ring (NCBI),4.64063862564155
tig,benzalkonium,1,beril_Keio,1,-4.6006115943726,-4.6006115943726,14574,beril_Keio,Benzalkonium Chloride,trigger factor (NCBI),4.6006115943726
yrbd,benzalkonium,1,beril_Keio,1,-4.56068506246877,-4.56068506246877,17264,beril_Keio,Benzalkonium Chloride,predicted ABC-type organic solvent transporter (NCBI),4.56068506246877
ygit,spectinomycin pentahydrate,1,beril_Keio,1,-4.53066590999266,-4.53066590999266,17097,beril_Keio,Spectinomycin dihydrochloride pentahydrate,predicted DNA-binding transcriptional regulator (NCBI),4.53066590999266
cvpa,bacitracin,1,beril_Keio,1,-4.51103059053759,-4.51103059053759,16420,beril_Keio,Bacitracin,membrane protein required for colicin V production (NCBI),4.51103059053759
ydgh,benzalkonium,1,beril_Keio,1,-4.49593395236153,-4.49593395236153,15725,beril_Keio,Benzalkonium Chloride,hypothetical protein (NCBI),4.49593395236153
sapa,benzalkonium,1,beril_MR1,1,-4.48787998203359,-4.48787998203359,200967,beril_MR1,Benzalkonium Chloride,"peptide ABC transporter, periplasmic peptide-binding protein (NCBI ptt file)",4.48787998203359
tff,spectinomycin pentahydrate,1,beril_Keio,1,-4.46164848534717,-4.46164848534717,1936221,beril_Keio,Spectinomycin dihydrochloride pentahydrate,unknown RNA (NCBI),4.46164848534717
rnpa,spectinomycin pentahydrate,1,beril_DvH,1,-4.38801862214673,-4.38801862214673,206510,beril_DvH,Spectinomycin dihydrochloride pentahydrate,ribonuclease P protein component (TIGR),4.38801862214673
prib,nalidixic acid,1,beril_Keio,1,-4.38604516721435,-4.38604516721435,18226,beril_Keio,Nalidixic acid sodium salt,primosomal replication protein N (NCBI),4.38604516721435
plsb,spectinomycin pentahydrate,1,beril_Keio,1,-4.37341434904653,-4.37341434904653,18069,beril_Keio,Spectinomycin dihydrochloride pentahydrate,glycerol-3-phosphate acyltransferase (VIMSS),4.37341434904653
yfgc,bacitracin,1,beril_Keio,1,-4.30499420583939,-4.30499420583939,16593,beril_Keio,Bacitracin,predicted peptidase (NCBI),4.30499420583939
cmr,benzalkonium,1,beril_Keio,1,-4.2507777636356,-4.2507777636356,14967,beril_Keio,Benzalkonium Chloride,multidrug efflux system protein (NCBI),4.2507777636356
vacj,nalidixic acid,1,beril_Keio,1,-4.22194365570075,-4.22194365570075,16452,beril_Keio,Nalidixic acid sodium salt,predicted lipoprotein (NCBI),4.22194365570075
pspc,bacitracin,1,beril_MR1,1,-4.19860581716119,-4.19860581716119,200971,beril_MR1,Bacitracin,phage shock protein C (NCBI ptt file),4.19860581716119
yhdp,bacitracin,1,beril_Keio,1,-4.16916291124451,-4.16916291124451,1936971,beril_Keio,Bacitracin,"conserved membrane protein, predicted transporter (NCBI)",4.16916291124451
