n,mcc,precision,recall,tp,fp,tn,fn,prevalence,organism,component,bucket_type,bucket_value
29,0.34097383755170546,0.9473684210526315,0.72,18,1,3,7,0.8620689655172413,mpne,PPI,length_bucket,short(<300bp)
236,0.3196196244582226,0.9329608938547486,0.8106796116504854,167,12,18,39,0.8728813559322034,mpne,ortholog_prior,length_bucket,medium(300-1000bp)
328,0.23851158441725387,0.8636363636363636,0.34080717488789236,76,12,93,147,0.6798780487804879,mpne,PPI,length_bucket,medium(300-1000bp)
179,0.33997129707230694,0.9393939393939394,0.7948717948717948,124,8,15,32,0.8715083798882681,mpne,ortholog_prior,length_bucket,long(1k-3k)
237,0.2627818800418474,0.8970588235294118,0.3630952380952381,61,7,62,107,0.7088607594936709,mpne,PPI,length_bucket,long(1k-3k)
16,0.047619047619047616,0.5714285714285714,0.8888888888888888,8,6,1,1,0.5625,mpne,ortholog_prior,length_bucket,very_long(>3kbp)
20,0.4530333378893934,0.8571428571428571,0.5454545454545454,6,1,8,5,0.55,mpne,PPI,length_bucket,very_long(>3kbp)
449,0.312381503487527,0.9233038348082596,0.8087855297157622,313,26,36,74,0.8619153674832962,mpne,ortholog_prior,has_ppi_partner,True
614,0.26680420791282816,0.8846153846153846,0.3770491803278688,161,21,166,266,0.6954397394136808,mpne,PPI,has_ppi_partner,True
265,0.22486940516193,0.8927038626609443,0.9082969432314411,208,25,11,21,0.8641509433962264,saureus,ortholog_prior,kw_replication,0
388,0.09403942141229778,0.907563025210084,0.32432432432432434,108,11,44,225,0.8582474226804123,saureus,PPI,kw_replication,0
16,,,,14,0,0,2,1.0,saureus,ortholog_prior,kw_replication,1
19,,,,6,0,0,13,1.0,saureus,PPI,kw_replication,1
275,0.2144941896046289,0.8962655601659751,0.9037656903765691,216,25,11,23,0.8690909090909091,saureus,ortholog_prior,kw_transcription,0
401,0.08641369673764553,0.9083333333333333,0.315028901734104,109,11,44,237,0.8628428927680798,saureus,PPI,kw_transcription,0
193,0.24292145354807,0.906832298136646,0.8690476190476191,146,15,10,22,0.8704663212435233,saureus,ortholog_prior,kw_translation,0
316,0.13878227153664777,0.9642857142857143,0.19852941176470587,54,2,42,218,0.8607594936708861,saureus,PPI,kw_translation,0
88,0.1729171253112705,0.8837209302325582,0.987012987012987,76,10,1,1,0.875,saureus,ortholog_prior,kw_translation,1
91,-0.051912749156378245,0.8695652173913043,0.75,60,9,2,20,0.8791208791208791,saureus,PPI,kw_translation,1
281,0.2169312357553307,0.8987854251012146,0.9061224489795918,222,25,11,23,0.8718861209964412,saureus,ortholog_prior,kw_atp,0
407,0.09179455939625057,0.912,0.32386363636363635,114,11,44,238,0.8648648648648649,saureus,PPI,kw_atp,0
280,0.22359882753213106,0.8987854251012146,0.9098360655737705,222,25,11,22,0.8714285714285714,saureus,ortholog_prior,kw_membrane,0
402,0.09542377096014223,0.912,0.3285302593659942,114,11,44,233,0.8631840796019901,saureus,PPI,kw_membrane,0
248,0.19605355884425651,0.8930232558139535,0.8930232558139535,192,23,10,23,0.8669354838709677,saureus,ortholog_prior,kw_synthase,0
371,0.09196650129102162,0.9083333333333333,0.340625,109,11,40,211,0.862533692722372,saureus,PPI,kw_synthase,0
33,0.5590169943749475,0.9375,1.0,30,2,1,0,0.9090909090909091,saureus,ortholog_prior,kw_synthase,1
36,0.1419904585617662,1.0,0.15625,5,0,4,27,0.8888888888888888,saureus,PPI,kw_synthase,1
269,0.22655819683667927,0.8945147679324894,0.9098712446351931,212,25,11,21,0.8661710037174721,saureus,ortholog_prior,kw_kinase,0
393,0.09226805996190954,0.9083333333333333,0.3224852071005917,109,11,44,229,0.8600508905852418,saureus,PPI,kw_kinase,0
12,,,,10,0,0,2,1.0,saureus,ortholog_prior,kw_kinase,1
14,,,,5,0,0,9,1.0,saureus,PPI,kw_kinase,1
266,0.19694710649137187,0.902542372881356,0.9102564102564102,213,23,9,21,0.8796992481203008,saureus,ortholog_prior,kw_dehydrogenase,0
390,0.08125963599831719,0.9098360655737705,0.3274336283185841,111,11,40,228,0.8692307692307693,saureus,PPI,kw_dehydrogenase,0
15,0.3181818181818182,0.8181818181818182,0.8181818181818182,9,2,2,2,0.7333333333333333,saureus,ortholog_prior,kw_dehydrogenase,1
17,0.25677629550654774,1.0,0.23076923076923078,3,0,4,10,0.7647058823529411,saureus,PPI,kw_dehydrogenase,1
280,0.22359882753213106,0.8987854251012146,0.9098360655737705,222,25,11,22,0.8714285714285714,saureus,ortholog_prior,kw_protease,0
405,0.09323220955205977,0.912,0.32571428571428573,114,11,44,236,0.8641975308641975,saureus,PPI,kw_protease,0
281,0.2169312357553307,0.8987854251012146,0.9061224489795918,222,25,11,23,0.8718861209964412,saureus,ortholog_prior,kw_rrna,0
406,0.09251107563358425,0.912,0.3247863247863248,114,11,44,237,0.8645320197044335,saureus,PPI,kw_rrna,0
