ec_number	km_value	km_unit	km_substrate	km_organism	km_organism_rank	km_n_at_rank	km_n_total	kcat_value	kcat_unit	kcat_organism	kcat_organism_rank	kcat_n_at_rank	kcat_n_total
1.5.1.5	0.0003	M	NADP+	Escherichia coli	3	1	15	113.0	s^(-1)	Photobacterium phosphoreum	5	5	5
1.8.1.4	0.0001412	M	NAD+	Escherichia coli	3	4	78	95.2	s^(-1)	Escherichia coli	3	4	26
1.8.1.9	3.6e-06	M	Oxidized thioredoxin	Escherichia coli	3	3	34	20.83333	s^(-1)	Escherichia coli	3	2	47
2.1.1.37	6.9e-08	M	5-Methylcytosine (in DNA)	Haemophilus parahaemolyticus	5	12	12	0.02333333	s^(-1)	Haemophilus parahaemolyticus	5	6	6
2.1.1.45	5.8e-05	M	dUMP	Escherichia coli	3	34	343	0.39	s^(-1)	Escherichia coli	3	26	232
2.1.2.1	0.00015	M	L-Serine	Escherichia coli	3	26	122	4.296667	s^(-1)	Escherichia coli	3	23	86
2.1.2.9	7.2e-07	M	L-Methionyl-tRNA(Met)	Enterococcus faecalis	5	12	12						0
2.1.3.3	0.0023	M	Carbamoyl phosphate	Mycoplasma arthritidis	1	3	312	1.333333	s^(-1)	Escherichia coli	3	17	61
2.2.1.1	0.01	M	Glyceraldehyde	Escherichia coli	3	13	114	0.0186	s^(-1)	Spinacia oleracea	5	2	10
2.3.1.12	0.005	M	Dihydrolipoamide	Enterococcus faecalis	5	2	2						0
2.3.1.15	0.000152	M	sn-Glycerol 3-phosphate	Escherichia coli	3	30	56						0
2.3.1.51	2.63e-05	M	1-Palmitoylglycerol 3-phosphate	Mus musculus	6	19	19						0
2.3.1.8	0.0017	M	Acetyl phosphate	Escherichia coli	3	10	38	1.56	s^(-1)	Escherichia coli	3	16	44
2.4.2.1	0.00011	M	Adenine	Escherichia coli	3	10	125	1.44	s^(-1)	Plasmodium falciparum	5	3	44
2.4.2.22	9.08e-05	M	Hypoxanthine	Escherichia coli	3	4	6	112.0	s^(-1)	Escherichia coli	3	4	4
2.4.2.3	0.000213	M	5-Fluorouridine	Homo sapiens	6	20	20						0
2.4.2.4	0.000433	M	5-Fluorodeoxyuridine	Homo sapiens	6	18	18						0
2.4.2.7	3e-07	M	Adenine	Mycoplasma mycoides	1	1	12						0
2.4.2.8	3.24e-05	M	5-Phospho-alpha-D-ribose 1-diphosphate	Trypanosoma cruzi	5	47	74	3.98	s^(-1)	Thermoanaerobacter tengcongensis	5	39	50
2.4.2.9	2e-05	M	5-Phospho-alpha-D-ribose 1-diphosphate	Escherichia coli	3	10	19	0.05	s^(-1)	Escherichia coli	3	4	5
2.5.1.6	0.00016	M	ATP	Escherichia coli	3	52	55	0.25	s^(-1)	Escherichia coli	3	14	14
2.7.1.11	0.0008	M	D-Fructose 6-phosphate	Escherichia coli	3	148	411	45.0	s^(-1)	Escherichia coli	3	29	64
