locus_tag,gene_name,gene_product,essentiality,primary_function
JCVISYN3A_0366,ylqF; rbgA,L16-binding dependent 50S subunit-maturation GTPase,Essential,Genetic Information Processing
JCVISYN3A_0371,ywjA,Flippase A,Essential,Metabolism
JCVISYN3A_0372,ywjA,Flippase B,Essential,Metabolism
JCVISYN3A_0373,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0375,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0376,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0377,obgE,Ribosome GTPase,Essential,Genetic Information Processing
JCVISYN3A_0378,nadE,NAD(+) synthase,Essential,Metabolism
JCVISYN3A_0379,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0380,nadD,Nicotinate (nicotinamide) nucleotide adenylyltransferase,Essential,Metabolism
JCVISYN3A_0381,mtnN,5'-Methylthioadenosine nucleosidase,Nonessential,Metabolism
JCVISYN3A_0382,dnk,Deoxynucleoside kinase,Nonessential,Metabolism
JCVISYN3A_0387,mnmA,tRNA 2-thiouridine(34) synthase,Essential,Genetic Information Processing
JCVISYN3A_0388,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0389,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0390,fmt,Methionyl-tRNA formyltransferase,Quasiessential,Genetic Information Processing
JCVISYN3A_0391,efp,Elongation factor P,Quasiessential,Genetic Information Processing
JCVISYN3A_0392,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0394,lon,Endopeptidase La,Quasiessential,Genetic Information Processing
JCVISYN3A_0398,,Uncharacterized lipoprotein,Quasiessential,Unclear
JCVISYN3A_0399,,Uncharacterized efflux ABC transporter permease,Quasiessential,Metabolism
JCVISYN3A_0400,thiJ/thiJ-like,Uncharacterized protease/Protein deglycase,Quasiessential,Genetic Information Processing
JCVISYN3A_0401,,Uncharacterized peptidase,Nonessential,Metabolism
JCVISYN3A_0402,ybeY,rRNA maturation RNase,Essential,Genetic Information Processing
JCVISYN3A_0403,era,Ribosome GTPase,Essential,Genetic Information Processing
JCVISYN3A_0404,recO,DNA repair protein,Nonessential,Genetic Information Processing
JCVISYN3A_0405,glyRS,Glycine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0406,dnaG,DNA primase,Essential,Genetic Information Processing
JCVISYN3A_0407,rpoD,RNA polymerase subunit sigma,Essential,Genetic Information Processing
JCVISYN3A_0408,trmK; yqfN,tRNA (m1A22) methyltransferase ,Quasiessential,Genetic Information Processing
JCVISYN3A_0409,folE/yqfO-like,Uncharacterized protein/GTP cyclohydrolase,Quasiessential,Unclear
JCVISYN3A_0410,cshB,Degradosome RNA helicase ,Quasiessential,Genetic Information Processing
JCVISYN3A_0411,,Uncharacterized protein,Nonessential,Unclear
JCVISYN3A_0412,secDF,Preprotein translocase subunit DF,Essential,Genetic Information Processing
JCVISYN3A_0413,apt,Adenine phosphoribosyltransferase,Essential,Metabolism
JCVISYN3A_0414,relA,"Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase",Quasiessential,Metabolism
JCVISYN3A_0415,smc,Chromosome segregation protein,Essential,Genetic Information Processing
JCVISYN3A_0416,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0418,rnc,Ribonuclease III,Essential,Genetic Information Processing
JCVISYN3A_0419,plsX,Phosphate acyltransferase,Essential,Metabolism
JCVISYN3A_0420,fakA,Fatty acid kinase subunit A,Essential,Metabolism
JCVISYN3A_0421,-/yloU,Uncharacterized protein/lipid synthesis regulation,Quasiessential,Unclear
JCVISYN3A_0422,rpmB,50S ribosomal protein L28,Quasiessential,Genetic Information Processing
JCVISYN3A_0424,-/yqgC-like,Uncharacterized protein/Unknown - B. subtilis ortholog,Essential,Unclear
JCVISYN3A_0425,pstS,Phosphate ABC transporter substrate-binding protein,Essential,Metabolism
JCVISYN3A_0426,pstA,Phosphate ABC transporter permease,Essential,Metabolism
JCVISYN3A_0427,pstB,Phosphate ABC transporter ATP-binding protein,Essential,Metabolism
JCVISYN3A_0428,phoU,Phosphate transport system regulatory protein,Essential,Metabolism
JCVISYN3A_0429,ftsY,Signal recognition particle-docking protein,Essential,Genetic Information Processing
JCVISYN3A_0430,-/ylxM,Uncharacterized DNA-binding protein/effector of translocation SRP,Essential,Unclear
JCVISYN3A_0431,ymdB/ymdB,Uncharacterized metallophosphoesterase/Damage Control phosphoesterase,Essential,Unclear
JCVISYN3A_0432,metK,Methionine adenosyltransferase,Essential,Metabolism
JCVISYN3A_0433,cutC/cutC-like,Uncharacterized protein/Copper Homeostasis Regulator,Nonessential,Metabolism
JCVISYN3A_0434,rlmFO,23S rRNA (uridine(1939)-m5)-methyltransferase,Nonessential,Genetic Information Processing
JCVISYN3A_0435,manA,Mannose-6-phosphate isomerase,Nonessential,Metabolism
JCVISYN3A_0437,yhaM,Putative 3'-5' exoribonuclease,Essential,Genetic Information Processing
JCVISYN3A_0438,hinT,Uncharacterized protein,Nonessential,Metabolism
JCVISYN3A_0439,,Uncharacterized lipoprotein,Essential,Unclear
JCVISYN3A_0440,,Uncharacterized lipoprotein,Essential,Unclear
JCVISYN3A_0441,iscS,Cysteine desulfurase,Essential,Metabolism
JCVISYN3A_0442,iscU,Iron-sulfur cluster assembly scaffold protein,Essential,Metabolism
JCVISYN3A_0443,yggN,5-Formyltetrahydrofolate cyclo-ligase,Essential,Metabolism
JCVISYN3A_0444,pepO,Oligopeptidase ,Quasiessential,Genetic Information Processing
JCVISYN3A_0445,pgi,Glucose-6-phosphate isomerase,Essential,Metabolism
JCVISYN3A_0447,dut,dUTP diphosphatase,Essential,Genetic Information Processing
JCVISYN3A_0448,spoU,Uncharacterized rRNA methyltransferase,Essential,Genetic Information Processing
JCVISYN3A_0451,gapdh,Glyceraldehyde-3-phosphate dehydrogenase,Essential,Metabolism
JCVISYN3A_0452,parE,DNA topoisomerase IV subunit B,Essential,Genetic Information Processing
JCVISYN3A_0453,parC,DNA topoisomerase IV subunit A,Essential,Genetic Information Processing
JCVISYN3A_0475,ldh,L-lactate dehydrogenase,Essential,Metabolism
JCVISYN3A_0478,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0479,,Uncharacterized peptidase,Quasiessential,Genetic Information Processing
JCVISYN3A_0481,,Uncharacterized lipoprotein,Nonessential,Unclear
JCVISYN3A_0482,rpsU,30S ribosomal protein S21,Essential,Genetic Information Processing
JCVISYN3A_0154,pepA; CARP,Uncharacterized peptidase,Quasiessential,Genetic Information Processing
JCVISYN3A_0493,dapE,Low specificity dipeptidase ,Quasiessential,Unclear
JCVISYN3A_0494,nanE,N-acetylmannosamine-6-phosphate 2-epimerase,Nonessential,Metabolism
JCVISYN3A_0495,nanK,Uncharacterized kinase,Nonessential,Metabolism
JCVISYN3A_0499,rpmA,50S ribosomal protein L27,Essential,Genetic Information Processing
JCVISYN3A_0500,prp;ysxB,Maturation protease for ribosomal protein L27,Essential,Genetic Information Processing
JCVISYN3A_0501,rplU,50S ribosomal protein L21,Essential,Genetic Information Processing
JCVISYN3A_0503,,Uncharacterized protein,Quasiessential,Unclear
JCVISYN3A_0504,rsmI,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,Nonessential,Genetic Information Processing
JCVISYN3A_0930,rpmG,50S ribosomal protein L33,Nonessential,Genetic Information Processing
JCVISYN3A_0505,,Uncharacterized lipoprotein,Nonessential,Unclear
JCVISYN3A_0511,,Uncharacterized protein,Essential,Unclear
JCVISYN3A_0512,plsC,Acyl-phosphate glycerol 3-phosphate acyltransferase,Essential,Metabolism
JCVISYN3A_0513,acpS,ACP synthase,Essential,Metabolism
JCVISYN3A_0515,dctD,Cytidine deaminase,Quasiessential,Metabolism
JCVISYN3A_0516,-/yqgP-gplG,Uncharacterized protein/membrane protease,Quasiessential,Unclear
JCVISYN3A_0517,rluD,Uncharacterized RNA pseudouridine synthase,Nonessential,Genetic Information Processing
JCVISYN3A_0518,lspA,Lipoprotein signal peptidase,Essential,Genetic Information Processing
JCVISYN3A_0519,ileRS,Isoleucine--tRNA ligase,Essential,Metabolism
JCVISYN3A_0520,,Uncharacterized hydrolase,Nonessential,Unclear
JCVISYN3A_0521,sepF,Cell division protein,Nonessential,Cellular Processes
