gene,ensg,fba_essential,hart_truth,subsystem,druggability
ARSD,ENSG00000006756,0,,Glycosphingolipid metabolism,0.9
ARSL,ENSG00000157399,0,,Glycosphingolipid metabolism,0.9
ART1,ENSG00000129744,0,0,Nicotinate and nicotinamide metabolism,0.9
ART3,ENSG00000156219,0,,Nicotinate and nicotinamide metabolism,0.9
ART4,ENSG00000111339,0,,Nicotinate and nicotinamide metabolism,0.9
ART5,ENSG00000167311,0,,Nicotinate and nicotinamide metabolism,0.9
AS3MT,ENSG00000214435,0,,Isolated,0.9
ASAH1,ENSG00000104763,0,,Sphingolipid metabolism,0.9
ASAH2,ENSG00000188611,0,,Sphingolipid metabolism,0.9
ASB12,ENSG00000198881,0,,Inositol phosphate metabolism,0.9
ASH1L,ENSG00000116539,0,,Lysine metabolism,0.9
ASL,ENSG00000126522,0,,"Alanine, aspartate and glutamate metabol",0.9
ASMT,ENSG00000196433,0,,Serotonin and melatonin biosynthesis,0.9
ASNS,ENSG00000070669,0,,"Alanine, aspartate and glutamate metabol",0.9
ASPA,ENSG00000108381,0,,"Alanine, aspartate and glutamate metabol",0.9
ASPG,ENSG00000166183,0,,Glycerophospholipid metabolism,0.9
ASPH,ENSG00000198363,0,,Isolated,0.9
ASRGL1,ENSG00000162174,0,,"Alanine, aspartate and glutamate metabol",0.9
ASS1,ENSG00000130707,0,,"Alanine, aspartate and glutamate metabol",0.9
ATE1,ENSG00000107669,0,,Isolated,0.9
ATIC,ENSG00000138363,0,,Purine metabolism,0.9
ATP10A,ENSG00000206190,0,,Transport reactions,0.9
ATP11A,ENSG00000068650,0,,Transport reactions,0.9
ATP11C,ENSG00000101974,0,,Transport reactions,0.9
ATP12A,ENSG00000075673,0,,Transport reactions,0.9
ATP1A1,ENSG00000163399,0,,Transport reactions,0.9
ATP1A2,ENSG00000018625,0,,Transport reactions,0.9
ATP1A3,ENSG00000105409,0,,Transport reactions,0.9
ATP1A4,ENSG00000132681,0,,Transport reactions,0.9
ATP1B1,ENSG00000143153,0,,Transport reactions,0.9
ATP1B2,ENSG00000129244,0,,Transport reactions,0.9
ATP1B3,ENSG00000069849,0,,Transport reactions,0.9
ATP1B4,ENSG00000101892,0,,Transport reactions,0.9
ATP2A1,ENSG00000196296,0,,Transport reactions,0.9
ATP2A2,ENSG00000174437,0,1,Transport reactions,0.9
ATP2A3,ENSG00000074370,0,,Transport reactions,0.9
ATP2B1,ENSG00000070961,0,,Transport reactions,0.9
ATP2B2,ENSG00000157087,0,,Transport reactions,0.9
ATP2B3,ENSG00000067842,0,,Transport reactions,0.9
ATP2B4,ENSG00000058668,0,,Transport reactions,0.9
ATP2C1,ENSG00000017260,0,,Transport reactions,0.9
ATP2C2,ENSG00000064270,0,,Transport reactions,0.9
ATP4A,ENSG00000105675,0,,Transport reactions,0.9
ATP4B,ENSG00000186009,0,0,Transport reactions,0.9
ATP5F1A,ENSG00000152234,0,1,Oxidative phosphorylation,0.9
ATP5F1B,ENSG00000110955,0,1,Oxidative phosphorylation,0.9
ATP5F1C,ENSG00000165629,0,1,Oxidative phosphorylation,0.9
ATP5F1D,ENSG00000099624,0,1,Oxidative phosphorylation,0.9
ATP5F1E,ENSG00000124172,0,,Oxidative phosphorylation,0.9
ATP5F1EP2,ENSG00000180389,0,,Oxidative phosphorylation,0.9
ATP5MC1,ENSG00000159199,0,,Oxidative phosphorylation,0.9
ATP5MC2,ENSG00000135390,0,,Oxidative phosphorylation,0.9
ATP5MC3,ENSG00000154518,0,,Oxidative phosphorylation,0.9
ATP5ME,ENSG00000169020,0,,Oxidative phosphorylation,0.9
ATP5MF,ENSG00000241468,0,,Oxidative phosphorylation,0.9
ATP5MG,ENSG00000167283,0,1,Oxidative phosphorylation,0.9
ATP5MGL,ENSG00000249222,0,,Oxidative phosphorylation,0.9
