line,target,confidence,sign,machine,n_convergent_KOs,in_named_complex,coherence_p,converging_KOs
Jurkat,FAM24B,0.9,up,Nonsense Mediated Decay (NMD) enhanced by th,10,5,1.4877158716951968e-16,UPF1|UPF2|CASC3|SMG5|SMG1|SMG7|CLOCK|SMG6|EIF1AX|MSRB1
Jurkat,TIGD1,0.9,up,Nuclear RNA decay,5,5,1.9819180177264732e-14,EXOSC7|EXOSC3|EXOSC4|ZC3H3|ZFC3H1
Jurkat,AURKA,0.9,up,Unwinding of DNA,9,5,9.807513555463571e-15,GINS4|TOPBP1|MRPL13|GINS2|GINS3|MZT1|MCM6|MCM7|IFITM3
Jurkat,SNRNP40,0.8,down,Ino80 complex,9,4,1.3471710308624217e-11,INO80|SMG1|PRPF6|ACTR8|NFRKB|INO80B|ABCG1|MED1|TPI1
Jurkat,HYOU1,0.8,up,oligosaccharyltransferase complex A,16,4,7.420841010723242e-11,HSPA5|DERL2|SLC35B1|GMPPB|DAD1|SPCS3|ALG2|DDOST|RPN1|TMEM258
Jurkat,PDIA4,0.8,up,oligosaccharyltransferase complex A,16,4,7.420841010723242e-11,HSPA5|DERL2|DAD1|RPN1|TMEM258|SLC39A7|GMPPB|DDOST|SLC35B1|SPCS3
Jurkat,LSS,0.8,up,COPI-dependent Golgi-to-ER retrograde traffi,11,4,5.353186390966992e-13,ATP6V1E1|HMGCS1|TMSB10|RINT1|TUBGCP4|STX18|NBAS|BNIP1|ATP6V1G1|RPUSD3
Jurkat,DNAJB11,0.8,up,oligosaccharyltransferase complex A,8,4,2.8597167433865618e-12,HSPA5|DAD1|RPN1|CALR|GMPPB|RPN2|FEN1|TMEM258
Jurkat,CALML4,0.8,up,transcription factor TFIIH core complex,12,4,3.3658030786347737e-11,ERCC2|HPS5|MNAT1|SNRPC|GTF2H3|GTF2E1|ERCC3|SNAPC5|SMU1|GEMIN4
Jurkat,UQCRFS1,0.8,up,RNA N6-methyladenosine methyltransferase complex,6,4,2.4078819132906327e-12,METTL14|WTAP|ZC3H13|METTL3|TREML2|UCHL5
Jurkat,ACTL6A,0.8,down,mRNA Splicing - Minor Pathway,7,4,7.946742395643349e-13,SNRNP35|ZCRB1|PDCD7|ZRSR2|PLK1|UBTF|SEPHS2
Jurkat,RHOG,0.8,up,RNA N6-methyladenosine methyltransferase complex,5,4,8.02938984808295e-13,ZC3H13|METTL14|WTAP|METTL3|TPI1
Jurkat,YTHDF2,0.7,up,Processing of Capped Intron-Containing Pre-m,7,3,4.682505770747738e-11,METTL14|WTAP|TNPO3|METTL3|DYNC1I2|PCID2|PC
Jurkat,CCNL1,0.662,up,mRNA Splicing - Major Pathway,6,4,5.2632624325889936e-09,CWC22|BUD13|SNIP1|SAP30BP|PRPF3|DCTN5
Jurkat,FADS2,0.653,up,COPI-dependent Golgi-to-ER retrograde traffi,7,3,4.680802029474031e-10,UPF2|NBAS|DYNC1H1|BNIP1|NDUFA3|RINT1|ZNF284
Jurkat,LETMD1,0.653,up,nonsense-mediated decay complex,7,3,4.680802029474031e-10,UPF2|MRPS14|SMG7|SMG5|ATF5|CLOCK|NDUFA3
Jurkat,PMF1,0.652,up,INTAC complex,3,3,4.869806001577647e-10,INTS14|INTS13|INTS10
Jurkat,MTHFD2L,0.647,up,Nuclear RNA decay,13,4,8.243052124837094e-09,EXOSC7|ZFC3H1|EXOSC4|ZC3H3|MBNL1|INTS7|SNRNP48|DHX29|DDX59|DBR1
Jurkat,SCO2,0.625,up,RNA N6-methyladenosine methyltransferase complex,4,3,1.1768337861798439e-09,ZC3H13|WTAP|METTL3|TUBD1
Jurkat,PTBP2,0.618,up,Nonsense Mediated Decay (NMD) enhanced by th,8,3,1.497379725872686e-09,PTBP1|SMG5|SMG1|CLOCK|EXOC4|SMG6|FEN1|KATNB1
Jurkat,ZFP36L2,0.617,up,nuclear pore,7,4,1.9643054773777558e-08,NUP93|NUP88|TPR|FASN|KPNB1|SETD5|SON
Jurkat,NDFIP1,0.607,up,mRNA Polyadenylation,7,4,2.6165659966528777e-08,NUDT21|OGFOD1|CPSF6|TCERG1|ECD|SRRM2|AIFM1
Jurkat,SYCP2,0.605,up,Nonsense Mediated Decay (NMD) enhanced by th,9,3,2.245763041852534e-09,CASC3|SMG1|SMG7|SMG5|CLOCK|NUTF2|POU3F1|WNK1|E2F6
