source,n_members,set,best_single_ORACLE,random_single,graph_chosen_single,random_set,mean_single
MED4,60,0.5718790888786316,0.5857053995132446,0.16031342316418887,0.35609352588653564,0.33837412893772123,0.22961574306245894
MED6,55,0.674554169178009,0.64300137758255,0.35167511496983933,0.600214421749115,0.36347356885671617,0.29580836120082743
MED7,53,0.6952196359634399,0.696004331111908,0.2578041348606348,0.6557561159133911,0.4572572484612465,0.3167297066066344
MED9,57,0.6940323114395142,0.69291090965271,0.2697265472263098,0.6183028817176819,0.4226564273238182,0.3066546214058211
MPHOSPH10,83,0.6045519113540649,0.5291804671287537,0.3471842149272561,0.5098729133605957,-0.013715740479528903,0.34209205265190584
MRPS14,70,0.27078723907470703,0.21211650967597961,0.08048963617184199,0.10405007749795914,0.01405623839236796,0.08395900977858609
NAA38,14,0.7171830534934998,0.7051506638526917,0.22755925115197898,0.518436074256897,-0.028395380638539792,0.3513889318065984
NACA,49,0.20589861273765564,0.33122676610946655,0.12424351298250258,0.20978949964046478,0.32118537202477454,0.10807192645852967
NAT10,81,0.5258182287216187,0.4574907720088959,0.30686441361904143,0.40168794989585876,0.04085244748857804,0.27535692333347267
NCBP1,72,0.15332914888858795,0.5987569093704224,0.01121134110726416,0.5987569093704224,0.02274133376777172,0.04809693903775446
NCBP2,71,0.2273111194372177,0.5987569093704224,0.05011302536004223,0.5987569093704224,0.07448079017922282,0.06876685208725844
NDUFA2,25,-0.31702497601509094,-0.018261106684803963,-0.12708581238985062,-0.13141091167926788,-0.21699925921857358,-0.10471576906740665
NEDD8,19,0.3135872483253479,0.3194252550601959,0.10094929486513138,0.2883843183517456,0.01869850138318725,0.09200981725007296
NOC4L,72,0.5273948907852173,0.4574430584907532,0.3586777847260237,0.4544658660888672,0.015348395647015423,0.32636531721800566
NOL11,64,0.5878039002418518,0.6222516894340515,0.26277654701843856,0.3661332130432129,0.08648516624234617,0.36343469182611443
NOL6,63,0.7757092714309692,0.6766031384468079,0.5249051585793495,0.4140413701534271,0.0747018376365304,0.48494738230984363
NOP14,60,0.510983943939209,0.4240376353263855,0.2874989045783877,0.2622382938861847,-0.019035152706783263,0.30270932540297507
NOP2,64,0.6038669347763062,0.5360682606697083,0.25914532523602246,0.4886051118373871,0.04769126134924591,0.2541713732643984
NPLOC4,5,-0.10288631170988083,0.003999552223831415,-0.04636051489505917,0.003999552223831415,-0.046248441492207346,-0.04556546090170741
NUDT21,8,0.15815629065036774,0.5141783356666565,0.10821044943295419,0.5141783356666565,0.07264217318152077,0.06545093341264874
NUP62,41,0.3547206521034241,0.46430525183677673,0.11363151400000789,0.46430525183677673,-0.07090537904296071,0.0804843361427008
NUTF2,15,0.37076646089553833,0.3138599097728729,0.11419604674447328,-0.009395672008395195,0.0004672300143283792,0.11709880322838823
OGT,31,-0.004586144350469112,0.04259173199534416,0.0003742419648915529,0.006633916404098272,-0.026084711306975806,-0.001251340378075838
PABPN1,24,0.14949476718902588,0.15812109410762787,0.028966639703139663,0.10013464093208313,-0.008164658816531301,0.03639147262826251
PAF1,39,0.422443687915802,0.6883791089057922,0.13832011783961207,0.6883791089057922,0.06292810098675546,0.12382433610036969
PAM16,5,0.43919169902801514,0.4142557978630066,0.303677099943161,0.3856041431427002,0.11907519598025829,0.30472679138183595
PCNA,34,0.5103943347930908,0.47805631160736084,0.19244803530164062,0.28527745604515076,-0.09005924833472818,0.15841148440342614
PDCD11,80,0.7656424045562744,0.6868518590927124,0.3714979588985443,0.6800627708435059,0.009501470904797315,0.374022003938444
PHF5A,93,0.4893202483654022,0.4120030701160431,0.18652990106493234,0.29063838720321655,0.03489728750428185,0.18681795172072868
PLRG1,77,0.7034778594970703,0.6076332330703735,0.3065815033391118,0.39830923080444336,-0.003290863148868084,0.2938835017213767
PMPCB,9,0.31620877981185913,0.3721705675125122,0.13528032996691763,0.3721705675125122,-0.0032243777764961123,0.12449095491319895
PNO1,78,0.7259879112243652,0.6365847587585449,0.3516293144784868,0.606923520565033,-0.021480996254831554,0.4274269321049826
POLE,34,0.46542778611183167,0.47805631160736084,0.1604037782177329,0.05645953491330147,-0.0961540078977123,0.1547762075685622
POLR1A,15,0.28865721821784973,0.5043179392814636,0.13757563093677164,0.0117310406640172,0.04541896868031472,0.10149005794276794
POLR1B,13,0.4260556995868683,0.5043179392814636,0.15120756011456252,0.03693287819623947,0.06350209584925323,0.16095118367901215
POLR2B,102,0.6669923067092896,0.6109888553619385,0.2344622164964676,0.11142537742853165,0.2054023563861847,0.23414081143324866
POLR2C,92,0.6478208303451538,0.5942521095275879,0.19436521343886853,0.5596116185188293,0.2777725696563721,0.23120227740677682
POLR2G,90,0.712500274181366,0.6363973021507263,0.22785236537456513,0.4057598412036896,0.29726280495524404,0.2507042313486131
POLR2H,99,0.6574934124946594,0.6363973021507263,0.22290118932723998,0.09523633867502213,0.25265117511153223,0.20945932001646872
POLR2I,81,0.5094351172447205,0.5447797775268555,0.1672739981673658,0.4526045620441437,0.1891248680651188,0.19135610527433686
PPIE,66,0.6083207130432129,0.5428870916366577,0.21705921553075314,0.11807609349489212,-0.050684223603457215,0.25544928578716336
PRPF3,67,0.6936220526695251,0.6247884631156921,0.33841871772892773,0.5372067093849182,0.03384853824973107,0.2710608694565121
PRPF4,66,0.6938835978507996,0.6153564453125,0.2344419446424581,0.5778516530990601,-0.014538723113946616,0.2838720120665984
PSMA3,27,0.6080756783485413,0.5549121499061584,0.26157029829919337,0.2917152941226959,0.018471399223199115,0.22992987689320687
PSMA4,30,0.6063573360443115,0.5549121499061584,0.21699823252856731,0.33436229825019836,0.011699547495209118,0.2074404261695842
PSMB2,25,0.5150471925735474,0.42852577567100525,0.1821784452535212,0.313498854637146,0.03779383001383394,0.21081747962161898
PSMB3,28,0.34158745408058167,0.2917152941226959,0.10603884346783161,0.1855088621377945,-0.0006217582209501416,0.1287052928070937
PSMB5,26,0.6000036001205444,0.5198734402656555,0.25307870488613843,0.23975256085395813,0.04294028793810867,0.237183666573121
PSMB6,25,0.6041316986083984,0.5022293329238892,0.2526783131019329,0.32576656341552734,0.028533420035091694,0.24565828337916173
PSMC1,25,0.6190672516822815,0.6339612007141113,0.24904227070510387,0.24124479293823242,0.16097903475165368,0.2501709958910942
PSMC2,27,0.6080437898635864,0.5824604034423828,0.235397975333035,0.5824604034423828,0.15072574969381095,0.24189063679012987
PSMC3,35,0.3009668290615082,0.2754119336605072,0.11813065968453884,0.24124479293823242,-0.00779107438866049,0.09303679360974847
PSMC4,29,0.5992025136947632,0.6339612007141113,0.24242836935445666,0.6339612007141113,0.03803231627680361,0.2098219413792008
PSMC6,30,0.45142462849617004,0.4501568078994751,0.17590244016610085,0.1988755166530609,0.0885404511471279,0.1563289572795232
PSMD11,27,0.5244802236557007,0.47140106558799744,0.17978883245959879,0.3281325697898865,0.05654948596493341,0.19995880989288842
PWP2,64,0.5271233320236206,0.44865477085113525,0.346357275173068,0.4304637610912323,-0.03742951725143939,0.33067715480865445
RAE1,31,0.09026595950126648,0.24736374616622925,0.052164855203591286,0.24736374616622925,-0.05078240180737339,0.024433432700818464
RBM14,47,0.07967714965343475,0.19567428529262543,0.020466213359031826,0.04011814668774605,-0.013876806781627237,0.012323492940631599
RBM25,37,0.27293428778648376,0.41055694222450256,0.020702571887522937,0.41055694222450256,-0.002438374223129358,0.057188387104385605
RCL1,58,0.712827205657959,0.6170121431350708,0.5048981386236846,0.5557416081428528,0.07178500893060118,0.4566484120321171
RIOK1,48,0.7172669768333435,0.6450116634368896,0.16065320493653418,0.6137906908988953,0.08202613494358957,0.3656594208829726
RIOK2,41,0.7284313440322876,0.642410159111023,0.5337640326470137,0.5466136336326599,0.13509860318154096,0.4993294173079293
RNF113A,60,0.620024561882019,0.6136425137519836,0.34643321773037317,-0.01907431147992611,-0.12502540210261942,0.30043836740466456
RNF20,17,0.338781476020813,0.3270878195762634,0.09133851155638695,0.3270878195762634,0.09225157396867871,0.0962051653631908
ROMO1,5,0.3895559310913086,0.3540255129337311,0.2764669291675091,0.21756479144096375,0.04013734310865402,0.27374462187290194
RPAP1,7,0.4640919864177704,0.4466768205165863,0.2233817670494318,0.14017345011234283,0.05524619875941426,0.237095748473491
RPAP2,21,0.7322675585746765,0.6289423704147339,0.37593853955622764,0.5890254378318787,0.20209553092718124,0.37854962013218374
RPL10,111,0.6959786415100098,0.6552000641822815,0.23226395742967726,0.6383342742919922,0.08388861757848645,0.2763515196673505
RPL10A,110,0.6488704681396484,0.5897923111915588,0.3753714829683304,0.5754747986793518,0.06238751570926979,0.2878896476277574
RPL12,100,0.36865952610969543,0.3851333558559418,0.19042977885110304,0.3411486744880676,0.3117384187877178,0.1652602403028868
RPL14,134,0.779312789440155,0.727144181728363,0.2476648632902652,0.7254428267478943,0.12615761980414392,0.296794712439235
RPL15,167,0.5053519010543823,0.544343113899231,0.16339705185091588,0.4774891436100006,0.07671992471441627,0.18525943658935062
RPL17,191,0.7377045750617981,0.7570393085479736,0.2502294244244695,0.021282969042658806,-0.04308087171521038,0.217596297944696
RPL18,157,0.716841459274292,0.6911924481391907,0.19897589068859817,0.6802889704704285,0.03167944613378495,0.25763252350222915
RPL19,188,0.7564231753349304,0.7477732300758362,0.22944847675971686,0.7336993217468262,-0.02817001738585532,0.20896984498695212
RPL21,117,0.7163757085800171,0.665833592414856,0.18867311729118227,0.5693359971046448,0.13992374981753528,0.2936695122715229
RPL23,136,0.760398268699646,0.7428765296936035,0.2791995994746685,0.6358501315116882,0.18515488933771848,0.25139509711880237
RPL23A,167,0.7558721303939819,0.7340621948242188,0.23348947316408158,-0.01986314356327057,0.001968953863251954,0.2558808380070081
RPL24,113,0.7524450421333313,0.6939319968223572,0.2890892875846475,0.6668311357498169,0.06271361910039559,0.3060129767333248
RPL26,156,0.7369027137756348,0.6953076124191284,0.3140879936516285,0.6850053668022156,-0.04813236350892112,0.23307699002646423
RPL27,118,0.650534451007843,0.6138628721237183,0.32999022463336586,0.5443310737609863,0.16879941957013217,0.26406947136817155
RPL27A,159,0.7577472925186157,0.7366220951080322,0.29934901390224694,0.7159512639045715,0.027527633344288916,0.22925682590524638
RPL30,141,0.7221028208732605,0.6621196269989014,0.29516343302093445,0.6533279418945312,-0.02543855135445483,0.2851029024310806
RPL31,133,0.7660594582557678,0.7380837202072144,0.36393635384738443,0.7177165150642395,0.14889699779450893,0.2959694161913113
RPL34,114,0.7795938849449158,0.7168437838554382,0.4150000451132655,-0.008719496428966522,0.10957693993113934,0.32617489717647496
RPL35,131,0.570770800113678,0.5364211797714233,0.2266173515468836,0.5178688764572144,0.03813797514885664,0.20459366129810802
RPL35A,140,0.6991901397705078,0.6527419090270996,0.3849785150028765,0.5687448382377625,0.03815636695362627,0.2292941314750351
RPL36,173,0.7954930067062378,0.7515888810157776,0.34153053611516954,0.6661656498908997,-0.054488734994083646,0.28690618385340094
RPL37A,142,0.7186602354049683,0.6700652837753296,0.2485741924494505,0.5791022181510925,-0.016966888698516414,0.27773676494556204
RPL38,119,0.7576825618743896,0.6897454857826233,0.21222456344403326,0.6564514636993408,0.03854343520360999,0.307722907740341
RPL4,187,0.691179096698761,0.6752328872680664,0.24485735574853607,0.6661656498908997,-0.04843030089105014,0.24952484555243648
RPL5,192,0.7235313057899475,0.6720073819160461,0.2548184157349169,0.43120986223220825,-0.006155393365770578,0.2096061641423148
RPL6,147,0.7926155924797058,0.7570393085479736,0.15264285593293608,0.7477732300758362,0.04750244403257966,0.26234397173583585
RPL7,123,0.7587476372718811,0.6945016384124756,0.41876142292749136,0.6128363609313965,0.0983965874183923,0.30559967151025264
RPL8,137,0.7544488906860352,0.712125837802887,0.3144913544878364,0.7006074786186218,0.0685559950361494,0.2869586726246116
RPP14,14,0.2968655824661255,0.30144208669662476,0.09700843072496354,0.30144208669662476,-0.040528088924475014,0.10243657277897
RPP40,17,0.4571886956691742,0.4564304053783417,0.1254087399924174,0.36601704359054565,-0.0775011065416038,0.14582164215800517
RPS10,147,0.5749529600143433,0.5518540740013123,0.20374767472967506,0.5518540740013123,-0.03436804712400772,0.2200208706258587
RPS11,191,0.8020247220993042,0.7411892414093018,0.36599641693755985,0.7190338373184204,-0.18108581751585007,0.2890687567907367
RPS12,160,0.7769259214401245,0.7172913551330566,0.4174809271469712,0.6619282960891724,-0.17891138717532157,0.33763454102736434
RPS13,175,0.7977438569068909,0.7423771619796753,0.25521896677091715,0.6039187908172607,-0.1744734026491642,0.3289675935840101
RPS15A,165,0.7778657078742981,0.7196320295333862,0.4211802477017045,0.6879395842552185,-0.1606401911005378,0.32688913655213336
RPS16,254,0.6754151582717896,0.6321769952774048,0.18133214086701627,0.6201501488685608,-0.2806267268955708,0.20594911551076414
RPS18,192,0.7853038907051086,0.7372245192527771,0.3072218900546432,0.7190338373184204,-0.1521708894520998,0.27578214144765906
RPS19,196,0.8176229596138,0.769359290599823,0.43789463210850954,0.769359290599823,-0.19198450781404972,0.31090262581057354
RPS19BP1,55,0.6273643374443054,0.5338400602340698,0.4177766863256693,0.4423271119594574,0.06771332488860934,0.38502461523325604
