word,n_ess,n_non,pct_ess,pct_non,enrichment,log_odds
rod,22,27,0.251342396892494,0.11402508551881414,2.2042728207471725,0.7912945219551171
acyl,16,20,0.18279447046726838,0.0844630263102327,2.1641951330972238,0.7723968218459962
peptide,30,38,0.3427396321261282,0.16047974998944212,2.1357188813459445,0.7602992840785143
transfer,25,32,0.2856163601051068,0.1351408420963723,2.1134718096652576,0.7494502926383095
asnc,26,34,0.2970410145093111,0.1435871447273956,2.0687159360488168,0.7281064181957726
nitrogen,27,36,0.3084656689135154,0.15203344735841884,2.0289329372786473,0.7087445381861173
lrp,24,32,0.27419170570090257,0.1351408420963723,2.0289329372786473,0.7085283141316197
2fe-2s,24,32,0.27419170570090257,0.1351408420963723,2.0289329372786473,0.7085283141316197
peptidylprolyl,15,20,0.1713698160630641,0.0844630263102327,2.0289329372786473,0.7077803018378894
decarboxylase,70,96,0.7997258082942991,0.40542252628911696,1.9725736890209071,0.6831844781963348
glycerol-3-phosphate,13,18,0.14852050725465554,0.07601672367920942,1.9537872729349937,0.6698539778896331
sigma-54-dependent,13,18,0.14852050725465554,0.07601672367920942,1.9537872729349937,0.6698539778896331
aldolase,38,53,0.43413686735976237,0.22382701972211666,1.939608845700342,0.6643800073808919
glutathione,43,60,0.4912601393807837,0.25338907893069806,1.9387581400662628,0.6642441983591825
bifunctional,118,169,1.3481092196961042,0.7137125723214663,1.8888685333244999,0.6423221266228945
pyruvate,21,30,0.23991774248828973,0.12669453946534903,1.8936707414600709,0.6392791809993392
complex,62,89,0.7083285730606649,0.3758604670805355,1.8845519417419645,0.6369080445778392
cysteine,26,38,0.2970410145093111,0.16047974998944212,1.8509563638331519,0.6167848612475844
regulator,688,1047,7.86016223009254,4.421639427340682,1.777657893470499,0.611925816952676
assembly,92,136,1.051068205186793,0.5743485789095824,1.8300179434277997,0.6090530751212535
aminotransferase,59,88,0.6740546098480521,0.37163731576502385,1.8137430802945482,0.5983120787480614
thioredoxin,15,23,0.1713698160630641,0.0971324802567676,1.7642895106770846,0.5680458074485042
peptidoglycan,15,23,0.1713698160630641,0.0971324802567676,1.7642895106770846,0.5680458074485042
dna-binding,54,83,0.6169313378270308,0.3505215591874657,1.7600382106513568,0.5678893966806333
gamma,25,39,0.2856163601051068,0.16470290130495374,1.7341307156227757,0.551461210650551
kinase,220,352,2.51342396892494,1.4865492630600954,1.6907774477322062,0.5356393664221333
transcriptional,529,872,6.04364217982406,3.6825879471261453,1.6411399446795176,0.5201991712595788
isomerase,85,138,0.9710956243573632,0.5827948815406057,1.6662734267505797,0.5144344644600896
oxidoreductase,277,460,3.1646292699645833,1.942649605135352,1.629027314858508,0.5005033964658621
catalytic,14,23,0.1599451616588598,0.0971324802567676,1.6466702099652788,0.49898015573674215
